ukprn,year,measure,group,number,provider
10007780,2024/25,level,Postgraduate (taught),1770,SOAS University of London
10005700,2024/25,level,Postgraduate (taught),105,SRUC
10005790,2024/25,level,Postgraduate (taught),8315,Sheffield Hallam University
10007157,2024/25,level,Postgraduate (taught),5575,The University of Sheffield
10023458,2024/25,level,Postgraduate (taught),175,The Sherwood Psychotherapy Training Institute Limited
10007158,2024/25,level,Postgraduate (taught),5755,The University of Southampton
10006022,2024/25,level,Postgraduate (taught),645,Southampton Solent University
10088214,2024/25,level,Postgraduate (taught),110,S P Jain London School of Management Limited
10006299,2024/25,level,Postgraduate (taught),2150,University of Staffordshire
10004747,2024/25,level,Postgraduate (taught),40,St Hild College
10007804,2024/25,level,Postgraduate (taught),2570,The University of Stirling
10037449,2024/25,level,Postgraduate (taught),635,University of St Mark and St John
10090767,2024/25,level,Postgraduate (taught),90,St Padarn's Institute
10008010,2024/25,level,Postgraduate (taught),365,Stranmillis University College
10007805,2024/25,level,Postgraduate (taught),6070,The University of Strathclyde
10014001,2024/25,level,Postgraduate (taught),880,University of Suffolk
10007159,2024/25,level,Postgraduate (taught),5650,The University of Sunderland
10007160,2024/25,level,Postgraduate (taught),2645,The University of Surrey
10007806,2024/25,level,Postgraduate (taught),3405,The University of Sussex
10007855,2024/25,level,Postgraduate (taught),3190,Swansea University
10020381,2024/25,level,Postgraduate (taught),655,Tavistock and Portman NHS Foundation Trust
10007161,2024/25,level,Postgraduate (taught),8210,Teesside University
10082743,2024/25,level,Postgraduate (taught),145,ThinkSpace Education Limited
10008017,2024/25,level,Postgraduate (taught),330,Trinity Laban Conservatoire of Music and Dance
10007858,2024/25,level,Postgraduate (taught),2285,University of Wales Trinity Saint David
10068157,2024/25,level,Postgraduate (taught),35,University Centre Peterborough
10007114,2024/25,level,Postgraduate (taught),1220,University of the Highlands and Islands
10007807,2024/25,level,Postgraduate (taught),11290,Ulster University
10039956,2024/25,level,Postgraduate (taught),15265,The University of Law
10007784,2024/25,level,Postgraduate (taught),19270,University College London
10007793,2024/25,level,Postgraduate (taught),5760,University of South Wales
10089591,2024/25,level,Postgraduate (taught),270,Walbrook Institute London Limited
10007163,2024/25,level,Postgraduate (taught),6815,The University of Warwick
10007361,2024/25,level,Postgraduate (taught),105,Waverley Abbey College
10007164,2024/25,level,Postgraduate (taught),10780,"University of the West of England, Bristol"
10007800,2024/25,level,Postgraduate (taught),6055,The University of the West of Scotland
10032288,2024/25,level,Postgraduate (taught),45,West Dean College
10006566,2024/25,level,Postgraduate (taught),4415,The University of West London
10007165,2024/25,level,Postgraduate (taught),3110,The University of Westminster
10003614,2024/25,level,Postgraduate (taught),835,The University of Winchester
10007166,2024/25,level,Postgraduate (taught),6475,The University of Wolverhampton
10007139,2024/25,level,Postgraduate (taught),1770,University of Worcester
10007833,2024/25,level,Postgraduate (taught),3530,Wrexham University
10007713,2024/25,level,Postgraduate (taught),4405,York St John University
10007167,2024/25,level,Postgraduate (taught),4890,The University of York
10008071,2024/25,level,First degree,480,AA School of Architecture
10007783,2024/25,level,First degree,9455,The University of Aberdeen
10007849,2024/25,level,First degree,3290,Abertay University
10007856,2024/25,level,First degree,5820,Aberystwyth University
10067853,2024/25,level,First degree,830,ACM Guildford Limited
10032036,2024/25,level,First degree,125,Amity University [IN] London
10000291,2024/25,level,First degree,23360,Anglia Ruskin University
10005451,2024/25,level,First degree,27365,Arden University
10000381,2024/25,level,First degree,250,Arts Educational Schools
10008899,2024/25,level,First degree,35,The Ashridge (Bonar Law Memorial) Trust
10003212,2024/25,level,First degree,1155,Hult International Business School Ltd
10007759,2024/25,level,First degree,14100,Aston University
10007857,2024/25,level,First degree,6390,Bangor University
10000571,2024/25,level,First degree,27275,Bath Spa University
10007850,2024/25,level,First degree,15890,The University of Bath
10007152,2024/25,level,First degree,6310,University of Bedfordshire
10005343,2024/25,level,First degree,16805,Queen's University Belfast
10037544,2024/25,level,First degree,6045,BIMM University
10007810,2024/25,level,First degree,0,Birmingham Christian College
10007760,2024/25,level,First degree,3965,Birkbeck College
10007140,2024/25,level,First degree,22830,Birmingham City University
10006840,2024/25,level,First degree,24620,The University of Birmingham
10000712,2024/25,level,First degree,4550,University College Birmingham
10007832,2024/25,level,First degree,4595,Birmingham Newman University
10000894,2024/25,level,First degree,5,Bristol Baptist College
10004061,2024/25,level,First degree,850,Bloomsbury Institute
10000385,2024/25,level,First degree,3340,The Arts University Bournemouth
10000824,2024/25,level,First degree,12330,Bournemouth University
10031982,2024/25,level,First degree,4820,BPP University
10007785,2024/25,level,First degree,7705,The University of Bradford
10000886,2024/25,level,First degree,13145,The University of Brighton
10007786,2024/25,level,First degree,23805,The University of Bristol
10023464,2024/25,level,First degree,20,Trinity College Bristol
10000961,2024/25,level,First degree,8520,Brunel University London
10000975,2024/25,level,First degree,15865,Buckinghamshire New University
10008173,2024/25,level,First degree,2130,University of the Built Environment
10007787,2024/25,level,First degree,1780,The University of Buckingham
10019368,2024/25,level,First degree,50,London College of Business Studies
10010308,2024/25,level,First degree,70,Cambridge Arts and Sciences Limited
10007788,2024/25,level,First degree,12815,The University of Cambridge
10032072,2024/25,level,First degree,25,The Cambridge Theological Federation
10001143,2024/25,level,First degree,33755,Canterbury Christ Church University
10007814,2024/25,level,First degree,22855,Cardiff University
10007854,2024/25,level,First degree,8855,Cardiff Metropolitan University
10001264,2024/25,level,First degree,40,Central School of Ballet
10024024,2024/25,level,First degree,175,Central Film School
10007848,2024/25,level,First degree,8045,University of Chester
10007137,2024/25,level,First degree,4450,The University of Chichester
10001386,2024/25,level,First degree,50,Chicken Shed Theatre Company
10001546,2024/25,level,First degree,150,The College of Integrated Chinese Medicine
10026921,2024/25,level,First degree,410,Christ the Redeemer College
10001478,2024/25,level,First degree,18280,"City St George's, University of London"
10007912,2024/25,level,First degree,25,Cliff College
10066502,2024/25,level,First degree,305,The College of Health Ltd
10091065,2024/25,level,First degree,35,Collective Acting Studio
10023442,2024/25,level,First degree,85,The College of Osteopaths
10007761,2024/25,level,First degree,270,Courtauld Institute of Art
10034324,2024/25,level,First degree,30,Court Theatre Training Company Ltd
10001726,2024/25,level,First degree,18810,Coventry University
10007822,2024/25,level,First degree,455,Cranfield University
10006427,2024/25,level,First degree,13900,University for the Creative Arts
10007842,2024/25,level,First degree,5580,University of Cumbria
10001883,2024/25,level,First degree,16295,De Montfort University
10007851,2024/25,level,First degree,12855,University of Derby
10007852,2024/25,level,First degree,9590,The University of Dundee
10007143,2024/25,level,First degree,16535,University of Durham
10067355,2024/25,level,First degree,165,Dyson Technical Training Limited
10007789,2024/25,level,First degree,11730,The University of East Anglia
10007144,2024/25,level,First degree,13990,The University of East London
10032282,2024/25,level,First degree,40,The Queen's Foundation for Ecumenical Theological Education
10007823,2024/25,level,First degree,9400,Edge Hill University
10007772,2024/25,level,First degree,9915,Edinburgh Napier University
10007790,2024/25,level,First degree,25425,The University of Edinburgh
10032295,2024/25,level,First degree,20,Emmanuel Theological College
10042570,2024/25,level,First degree,725,Escape Studios
10007791,2024/25,level,First degree,8760,The University of Essex
10002313,2024/25,level,First degree,180,ESCP Europe Business School
10007792,2024/25,level,First degree,22610,The University of Exeter
10008640,2024/25,level,First degree,6960,Falmouth University
10045476,2024/25,level,First degree,260,Met Film School Limited
10022087,2024/25,level,First degree,415,Futureworks
10007762,2024/25,level,First degree,15015,Glasgow Caledonian University
10002681,2024/25,level,First degree,1920,Glasgow School of Art
10007794,2024/25,level,First degree,21745,The University of Glasgow
10007145,2024/25,level,First degree,5360,University of Gloucestershire
10002718,2024/25,level,First degree,4375,Goldsmiths College
10006841,2024/25,level,First degree,6950,University of Greater Manchester
10007146,2024/25,level,First degree,18960,The University of Greenwich
10007825,2024/25,level,First degree,665,Guildhall School of Music and Drama
10040812,2024/25,level,First degree,2550,Harper Adams University
10080811,2024/25,level,First degree,2210,Hartpury University
10000163,2024/25,level,First degree,1330,Health Sciences University
10007764,2024/25,level,First degree,6605,Heriot-Watt University
10007147,2024/25,level,First degree,12355,University of Hertfordshire
10007148,2024/25,level,First degree,10525,The University of Huddersfield
10007149,2024/25,level,First degree,8490,The University of Hull
10003239,2024/25,level,First degree,2090,ICON College of Technology and Management
10003270,2024/25,level,First degree,12080,"Imperial College of Science, Technology and Medicine"
10003284,2024/25,level,First degree,15,Inchbald School of Design Limited
10057622,2024/25,level,First degree,85,The School of Information Risk Management
10013220,2024/25,level,First degree,45,Institute of Art - London Limited
10035638,2024/25,level,First degree,1865,Institute of Contemporary Music Performance
10027603,2024/25,level,First degree,50,International College of Musical Theatre
10029682,2024/25,level,First degree,30,The Islamic College
10067601,2024/25,level,First degree,90,JSA Education Group Ltd.
10021682,2024/25,level,First degree,780,Kaplan Open Learning (Essex) Limited
10007767,2024/25,level,First degree,9490,Keele University
10007150,2024/25,level,First degree,13235,The University of Kent
10003645,2024/25,level,First degree,22335,King's College London
10003678,2024/25,level,First degree,13925,Kingston University
10003746,2024/25,level,First degree,65,Laine Theatre Arts
10003758,2024/25,level,First degree,150,LAMDA Limited
10007141,2024/25,level,First degree,16320,University of Lancashire
10007768,2024/25,level,First degree,13755,The University of Lancaster
10003854,2024/25,level,First degree,2085,Leeds Arts University
10003861,2024/25,level,First degree,16040,Leeds Beckett University
10034449,2024/25,level,First degree,1240,Leeds Conservatoire
